area_type,location,total_sqft,bath,balcony,price,bhk
Super built-up  Area,1st Block Jayanagar,2850.0,4.0,1.0,428.0,4
Super built-up  Area,1st Block Jayanagar,1630.0,3.0,2.0,194.0,3
Super built-up  Area,1st Block Jayanagar,1875.0,2.0,3.0,235.0,3
Built-up  Area,1st Block Jayanagar,1200.0,2.0,0.0,130.0,3
Super built-up  Area,1st Block Jayanagar,1235.0,2.0,2.0,148.0,2
Super built-up  Area,1st Block Jayanagar,2750.0,4.0,0.0,413.0,4
Super built-up  Area,1st Block Jayanagar,2450.0,4.0,2.0,368.0,4
Built-up  Area,1st Block Koramangala,1415.0,2.0,3.0,110.0,2
Built-up  Area,1st Block Koramangala,860.0,2.0,2.0,65.5,2
Super built-up  Area,1st Block Koramangala,3000.0,3.0,3.0,300.0,4
Built-up  Area,1st Block Koramangala,2350.0,3.0,2.0,210.0,3
Super built-up  Area,1st Block Koramangala,3000.0,5.0,3.0,500.0,4
Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,1.0,167.0,3
Built-up  Area,1st Phase JP Nagar,1500.0,5.0,2.0,85.0,5
Super built-up  Area,1st Phase JP Nagar,2065.0,4.0,1.0,210.0,3
Super built-up  Area,1st Phase JP Nagar,2059.0,3.0,2.0,225.0,3
Super built-up  Area,1st Phase JP Nagar,1394.0,2.0,1.0,100.0,2
Super built-up  Area,1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2
Plot  Area,1st Phase JP Nagar,1566.0,2.0,0.0,180.0,2
Built-up  Area,1st Phase JP Nagar,840.0,2.0,2.0,50.0,1
Super built-up  Area,1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3
Super built-up  Area,1st Phase JP Nagar,2180.0,3.0,2.0,210.0,3
Super built-up  Area,1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2
Super built-up  Area,1st Phase JP Nagar,1200.0,2.0,2.0,86.0,2
Built-up  Area,1st Phase JP Nagar,1394.0,2.0,2.0,85.0,2
Super built-up  Area,1st Phase JP Nagar,2077.0,3.0,3.0,175.0,3
Super built-up  Area,1st Phase JP Nagar,1205.0,2.0,1.0,85.0,2
Super built-up  Area,1st Phase JP Nagar,900.0,2.0,1.0,75.0,2
Super built-up  Area,2nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3
Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2
Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3
Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3
Super built-up  Area,2nd Phase Judicial Layout,900.0,2.0,2.0,41.0,2
Super built-up  Area,2nd Phase Judicial Layout,1681.0,3.0,3.0,69.0,3
Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3
Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2
Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,2.0,220.0,4
Plot  Area,2nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4
Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4
Plot  Area,2nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4
Super built-up  Area,5th Block Hbr Layout,1206.0,2.0,2.0,56.0,2
Super built-up  Area,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3
Super built-up  Area,5th Block Hbr Layout,1312.0,2.0,3.0,69.0,2
Super built-up  Area,5th Block Hbr Layout,1100.0,2.0,2.0,48.0,2
Built-up  Area,5th Block Hbr Layout,3600.0,5.0,3.0,130.0,5
Built-up  Area,5th Block Hbr Layout,5100.0,5.0,3.0,300.0,6
Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
Built-up  Area,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2
Built-up  Area,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2
Super built-up  Area,5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2
Built-up  Area,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,3
Super built-up  Area,5th Phase JP Nagar,1440.0,2.0,2.0,60.0,2
Built-up  Area,5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3
Super built-up  Area,5th Phase JP Nagar,2500.0,5.0,2.0,110.0,5
Built-up  Area,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1
Super built-up  Area,5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2
Built-up  Area,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2
Super built-up  Area,5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2
Super built-up  Area,5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3
Super built-up  Area,5th Phase JP Nagar,552.0,1.0,1.0,23.5,1
Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,2.0,51.0,2
Built-up  Area,5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2
